name,city,address,phone,website,rating,totalRatings,latitude,longitude,googlePlaceId,googleMapsUrl,openNow,scrapedAt
Los Angeles Inn,Asunción,"Pora 226, Lambaré 001306, Paraguay",0982 296223,https://www.facebook.com/losangeles.inn,4.4,694,-25.353496699999997,-57.639754499999995,ChIJaWV8gNepXZQRjnUAvUP_V9w,https://maps.google.com/?cid=15877439677716788622&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,True,2026-01-29T15:58:23.919Z
La Madrague Asuncion,Asunción,"Avenida Carlos Antonio López &, P86Q+3F2, Gobernador Domingo M.De Irala, Asunción 001005, Paraguay",0981 510224,,4.1,24,-25.289871100000003,-57.661364299999995,ChIJ1-cKABQIXZQR0803miP1_V8,https://maps.google.com/?cid=6916954135970958803&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,2026-01-29T15:58:24.030Z
casa mosaico,Asunción,"Fulgencio R. Moreno 653, Asunción 001101, Paraguay",0994 465566,https://kompasspy.com/biz/casa-mosaico-hostal-asuncion/,4.8,36,-25.288748,-57.631961499999996,ChIJ7ZCupiCnXZQRNaErfBHkfJE,https://maps.google.com/?cid=10483504796360483125&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,2026-01-29T15:58:24.435Z
Mbokaja,Asunción,"Carmen Soler 3773, Asunción 1209, Paraguay",0973 506987,,4.8,4,-25.2991667,-57.59848160000001,ChIJ_7HBdX2oXZQRpEvyvdGXL6k,https://maps.google.com/?cid=12191129643405953956&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,2026-01-29T15:58:24.635Z
Pequeño estudio moderno en el nuevo centro de Asunción MA001,Asunción,"Alberto De Sousa Entre, Rodolfo Zotti y, Asunción 1849, Paraguay",0986 666035,,5,1,-25.294969599999998,-57.58263719999999,ChIJUXeyMJqoXZQRN8cLO72GmmI,https://maps.google.com/?cid=7105139509427947319&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,2026-01-29T15:58:24.737Z
Studio en el Centro de Asunción,Asunción,"P97C+57W Cerro Corá, Asunción 001219, Paraguay",0981 438100,,4.8,4,-25.287010499999997,-57.629296499999995,ChIJp9T0e--nXZQRVemyUtyfHnY,https://maps.google.com/?cid=8511416114405894485&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,False,2026-01-29T15:58:24.838Z
Tu Casa de Paso,Asunción,"Guido Spano 2397, Asunción 001408, Paraguay",0981 884187,https://www.facebook.com/T%C3%BA-casa-de-paso-Hostal-466768350035738/?hc_ref=SEARCH,4.7,69,-25.297857099999998,-57.5684025,ChIJbwVAxLuoXZQRu1-ryAoroaU,https://maps.google.com/?cid=11934867812824866747&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,2026-01-29T15:58:25.344Z
"Alojamiento Ecológico Asunción, Paraguay",Asunción,"Manuel Talavera 988, Asunción 001406, Paraguay",0985 917051,,4.8,66,-25.297388100000003,-57.553057200000005,ChIJp383UZ2nXZQRRf-encYKhvc,https://maps.google.com/?cid=17835955222411673413&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,2026-01-29T15:58:25.446Z
Victoria,Asunción,"P957+9PX, México 489, Asunción 1107, Paraguay",0981 485155,,4.5,2,-25.2915124,-57.6356082,ChIJxWczVfqnXZQRVQFXRvUiJ9M,https://maps.google.com/?cid=15215168302936949077&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,2026-01-29T15:58:25.648Z
LODECAMPU,Asunción,"Capitán Juan Dimas Motta 385 Casi, Asunción 001408, Paraguay",0983 230213,http://www.booking.com/LODECAMPU,4.8,28,-25.293939599999998,-57.5738601,ChIJ03AXolOpXZQRZn9ikHPgxwo,https://maps.google.com/?cid=776836247692935014&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,2026-01-29T15:58:27.706Z
